app_id,recommendationid,author_steamid,playtime_at_review_minutes,playtime_forever_minutes,playtime_last_two_weeks_minutes,last_played,review_text,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free,written_during_early_access
1245620,191251140,76561199168777335,721,769,133,1743023933,"O EN BASTAKİ OROS?PU COCUGUNA VURMAYIN
ELİNDE GÜLLE DOVUO MK",1743021111,1743021111,True,0,0,0.5,True,False,False
1245620,191226868,76561199002575223,563,649,649,1743015876,allahın unuttuğu bir evrende allahın belası bosslar ile savaşma oyunu,1742998992,1742998992,True,0,0,0.5,True,False,False
1245620,191221704,76561198846683554,179,179,179,1742993548,Daha oyun başı en az 20 defa öldüm umarım böyle devam etmez aklımı kaçırıcam yoksa,1742993950,1742993950,True,1,0,0.5,True,False,False
1245620,191211360,76561198895050142,5263,5282,19,1742996017,Bu oyun hayatımda oynadığım en iyi açık dünya deneyimini sağladı bana. Keşif hissini en son skyrim oynarken böyle hissetmiştim. Gerçekten harika bir deneyimdi,1742980336,1742980336,True,1,0,0.5,True,False,False
1245620,191208650,76561198864904346,1791,2090,2090,1743009023,63 lvle kadar kasıldım ananı sikmeye geliyorum godrick.,1742976017,1742976017,True,0,1,0.5,True,False,False
1245620,191199585,76561199218099932,8436,8639,1777,1743017657,güzel,1742960642,1742960642,True,0,0,0.5,True,False,False
1245620,191188823,76561199384541154,2784,2813,2815,1743009358,"Başyapıt, başlarda akıl sağlığınız kaybediyorsunuz eğer ilk souls oyununuzsa sonra bağımlılık yapıyor",1742946115,1742946115,True,1,0,0.5,True,False,False
1245620,191186747,76561199206454368,452,549,549,1742986380,"Ya yapacağınız oyunu sikim daha ata binemeden oyunu silme noktasına geldim ya.O kuşların ayaklarındaki kılıçları ananıza,kalkanını yere vurup sendeleten düşmanın kılıcını boydan boya size,kırkayaklı düşmanın kılıçlarını da sülalenize sokayım",1742943631,1742943631,False,1,0,0.52173912525177002,True,False,False
1245620,191180285,76561198861472728,2966,2966,2966,1742936230,Köpekler ve kuşlar oyundan kaldırılmalı,1742937101,1742937101,True,0,0,0.5,True,False,False
1245620,191175090,76561199127776095,1632,1707,1707,1742937599,keşke oyunun elleri olsa da öpebilsem,1742932258,1742932258,True,0,0,0.5,True,False,False
1245620,191152695,76561198341323575,8088,8362,576,1742929918,güzel,1742912997,1742912997,True,0,0,0.5,True,False,False
1245620,191152069,76561199092467305,703,703,704,1742912532,S3KS,1742912536,1742912536,True,0,0,0.5,True,False,False
1245620,191141756,76561198863588506,166,166,62,1742138882,bok gibi oyunmuş aq,1742901455,1742901455,False,0,0,0.5,True,False,False
1245620,191141200,76561198059359149,3637,5161,2763,1743024145,"[b] <3 came for waifus, stayed for waifus (also lore but we don't talk about that) <3 [/b]

91/100",1742900703,1742900747,True,0,0,0.5,True,False,False
1245620,191130796,76561198381155971,904,1489,1489,1742940086,kafasına göre takılmak isteyenler için ideal,1742884539,1742884539,True,0,0,0.5,True,False,False
1245620,191130783,76561198818250168,1251,1334,788,1743000030,"Gerek açık dünyası ile, oyundaki keşiflerinizde yardımcı olan npc lere kadar muhteşem bir oyun. Boss fightları diğer souls oyunlarına kıyasla kolay olsa da benim gibi ilk souls oyunu elden ring olan insanlar için yine de zorlayıcı olacaktır. İlk 6. saatten sonra oyunu bırakma kararı aldım fakat sonra inat edip devam ettim ve şimdi çok daha eğlenceli ve merak uyandırıcı olmaya başladı. Oyun kısaca ilk 20. saatten sonra başlıyor bilginize.",1742884511,1742884511,True,0,0,0.5,True,False,False
1245620,191100721,76561198226206232,3201,3558,3559,1743018581,fenaaaa sariooo,1742848361,1742848361,True,0,0,0.5,True,False,False
1245620,191098078,76561199401260858,189,189,189,1742845852,"Limgrave'deki o devi kim tasarladıysa, kim fikri öne sürdüyse onun ben amına koyayım. ne devmiş be, 1.5 saattir geçemedim, belki de ben rezalet oynuyorumdur ama yok... herif hasar yemiyor la. Oyunun başına böyle eleman konur mu hiç, normal biri olsa oyundan soğur. fakat ben takıntıl bi manyak olduğum için o devi öldürene kadar bırakmam. Ama Allah belamı versin ki şu 3 saatte eğlendiğim kadar başka bir oyunda eğlenmedim.",1742845986,1742846141,True,0,0,0.5,True,False,False
1245620,191096011,76561198874771963,3866,3866,0,1740760317,G Ü Z E L,1742844122,1742844122,True,1,0,0.523809552192687988,True,False,False
